movieid,Title,Plot,Year,Genre,Runtime,Language,Director,Actors,IMDB,Pic,Youtube
tt0111161,The Shawshank Redemption,"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency.",1994,Drama,2h 22min,English,Frank Darabont,"Tim Robbins, Morgan Freeman",/title/tt0111161/,tt0111161.jpg,NmzuHjWmXOc
tt0071562,The Godfather: Part II,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.",1974,Crime | Drama,3h 22min,"English, Italian, Spanish, Latin, Sicilian",Francis Ford Coppola,"Al Pacino, Robert De Niro",/title/tt0071562/,tt0071562.jpg,9O1Iy9od7-A
tt0468569,The Dark Knight,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.",2008,Action | Crime | Drama,2h 32min,"English, Mandarin",Christopher Nolan,"Christian Bale, Heath Ledger",/title/tt0468569/,tt0468569.jpg,EXeTwQWrcwY
tt0050083,12 Angry Men,A jury holdout attempts to prevent a miscarriage of justice by forcing his colleagues to reconsider the evidence.,1957,Drama,1h 36min,English,Sidney Lumet,"Henry Fonda, Lee J. Cobb",/title/tt0050083/,tt0050083.jpg,_13J_9B5jEk
tt0108052,Schindler''s List,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.",1993,Biography | Drama | History,3h 15min,"English, Hebrew, German, Polish",Steven Spielberg,"Liam Neeson, Ralph Fiennes",/title/tt0108052/,tt0108052.jpg,mxphAlJID9U
tt0167260,The Lord of the Rings: The Return of the King,Gandalf and Aragorn lead the World of Men against Sauron''s army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,2003,Adventure | Drama | Fantasy,3h 21min,"English, Quenya, Old English, Sindarin",Peter Jackson,"Elijah Wood, Viggo Mortensen",/title/tt0167260/,tt0167260.jpg,r5X-hFf6Bwo
tt0110912,Pulp Fiction,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.",1994,Crime | Drama,2h 34min,"English, Spanish, French",Quentin Tarantino,"John Travolta, Uma Thurman",/title/tt0110912/,tt0110912.jpg,s7EdQ4FqbhY
tt0060196,"The Good, the Bad and the Ugly",A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.,1966,Western,2h 41min,"Italian, English, Spanish",Sergio Leone,"Clint Eastwood, Eli Wallach",/title/tt0060196/,tt0060196.jpg,WCN5JJY_wiA
tt0120737,The Lord of the Rings: The Fellowship of the Ring,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,2001,Action | Adventure | Drama,2h 58min,"English, Sindarin",Peter Jackson,"Elijah Wood, Ian McKellen",/title/tt0120737/,tt0120737.jpg,V75dMMIW2B4
tt0137523,Fight Club,"An insomniac office worker and a devil-may-care soapmaker form an underground fight club that evolves into something much, much more.",1999,Drama,2h 19min,English,David Fincher,"Brad Pitt, Edward Norton",/title/tt0137523/,tt0137523.jpg,qtRKdVHc-cE
tt0109830,Forrest Gump,"The presidencies of Kennedy and Johnson, the events of Vietnam, Watergate, and other historical events unfold through the perspective of an Alabama man with an IQ of 75, whose only desire is to be reunited with his childhood sweetheart.",1994,Drama | Romance,2h 22min,English,Robert Zemeckis,"Tom Hanks, Robin Wright",/title/tt0109830/,tt0109830.jpg,XHhAG-YLdk8
tt0080684,Star Wars: Episode V - The Empire Strikes Back,"After the Rebels are brutally overpowered by the Empire on the ice planet Hoth, Luke Skywalker begins Jedi training with Yoda, while his friends are pursued by Darth Vader and a bounty hunter named Boba Fett all over the galaxy.",1980,Action | Adventure | Fantasy,2h 4min,English,Irvin Kershner,"Mark Hamill, Harrison Ford",/title/tt0080684/,tt0080684.jpg,JNwNXF9Y6kY
tt0167261,The Lord of the Rings: The Two Towers,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron''s new ally, Saruman, and his hordes of Isengard.",2002,Adventure | Drama | Fantasy,2h 59min,"English, Sindarin, Old English",Peter Jackson,"Elijah Wood, Ian McKellen",/title/tt0167261/,tt0167261.jpg,LbfMDwc4azU
tt0133093,The Matrix,A computer hacker learns from mysterious rebels about the true nature of his reality and his role in the war against its controllers.,1999,Action | Sci-Fi,2h 16min,English,Lana Wachowski,"Keanu Reeves, Laurence Fishburne",/title/tt0133093/,tt0133093.jpg,vKQi3bBA1y8
